"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","loglike_sjSDM","loss","AUC.train","AUC.test","ll.train","ll.test","nagel.train","nagel.test","plr.train","plr.test","tjur.train","tjur.test","cor.train","cor.test","auc.lt5.train","auc.lt5.test","k"
1,0.4,0.2,0.5,0.25,0.002,1,0.1,"relu",0.1,0.1,1173.24267578125,18.357,0.859634568396487,0.627210436535833,-27.9339367196503,-11.7593198950417,0.473564422560269,-0.19522671570883,2.90380084147866,1.65900844458828,0.332674773151916,0.1255725826753,0.602654826208668,0.212846399395852,0,10,1
2,0.6,0.6,0.5,0,0.002,2,0.2,"relu",0.2,0,1201.96008300781,19.131,0.863180153952757,0.620661198736596,-28.6189207458884,-11.5523814446756,0.458041497998529,-0.142049604030568,2.57887496084375,1.49562491905476,0.307105319916791,0.10900393288537,0.604381611944309,0.188766056136317,0,9,1
3,0.8,0.2,0.5,0,0.001,2,0.2,"relu",0.7,0.6,1318.55834960938,21.067,0.837366886633818,0.646331004019496,-31.3944414891775,-10.3312543587104,0.383932230486171,0.0949545388828494,2.05976966655713,1.42089141462026,0.243710158727184,0.113431142776652,0.554026239641828,0.26110655286056,0,7,1
4,0.4,0.4,0.25,0.5,0.002,2,0.2,"relu",0.6,1,1180.59545898438,19.587,0.86348211791611,0.65587543886155,-28.8838152244432,-11.0891582571073,0.453022520863525,-0.0681235877688672,2.41305318331013,1.56767100831258,0.299481794788917,0.121692098477027,0.601967113709492,0.250824790103254,0,6,1
5,0,1,0.25,0,0.001,2,0.1,"relu",0.4,0.9,1189.19189453125,19.644,0.862302637964777,0.630190960200881,-28.4312789034304,-11.8826600403419,0.464667048997843,-0.203057148376332,2.66310018872287,1.53313685530025,0.319167695083777,0.0990710826441282,0.604724318244259,0.185324154552171,0,8,1
6,0.8,0.2,0,0,0.001,2,0.2,"relu",1,0.4,1233.78234863281,19.439,0.85229703779059,0.641584470056692,-29.3871173150577,-11.3669004281201,0.438208606106255,-0.0937600301751265,2.47675879133873,1.56537232239731,0.299770744079684,0.132290475369895,0.590204762325615,0.239593763938183,0,10,1
7,0.2,0,1,0.75,0.002,2,0.1,"relu",0.2,0.1,1070.89245605469,18.961,0.895889458681814,0.637081137924392,-25.4975886224722,-12.8265624093932,0.540801032924019,-0.563171437152124,3.10074444612451,1.66528779292497,0.381094101958396,0.134126486844729,0.666089002736262,0.217336144023251,0,9,1
8,0.6,0.6,0,0.5,0.002,2,0.2,"relu",0.1,0.7,1111.017578125,18.084,0.884090413002179,0.605858109776761,-26.7447770823227,-12.8799243063607,0.511942868391036,-0.483196098482836,2.86437310853449,1.49716328701862,0.35748533795524,0.105698562340844,0.647612987649552,0.16101342583121,0,10,1
9,1,0.4,0,1,0.002,1,0.2,"relu",0.7,0.8,992.079833984375,16.811,0.913571100550589,0.619352595890294,-23.6206362823097,-13.2862027029517,0.585244749855865,-0.654680005571328,3.58678892323715,1.52611787200692,0.422276739238911,0.119292169515182,0.703331661719914,0.177923139241801,0,9,1
10,0.8,0.4,1,0,0.002,1,0.1,"relu",0.5,0.4,1009.74609375,16.938,0.899004259962217,0.645869156930665,-24.0417514601765,-12.6180072753103,0.570947706307386,-0.654732491415695,4.12839701942499,1.78846221307324,0.420461020391643,0.139788758460131,0.683308944881583,0.234350948096388,0,8,1
11,1,0.8,0.25,0,0.002,2,0.2,"relu",1,0.9,1253.77709960938,20.359,0.849766615842235,0.63765292430967,-29.8524814665087,-10.9768283514999,0.426085162206063,-0.0652093418760081,2.32759769158247,1.56080390616863,0.284570561724035,0.128430774590511,0.575267953051828,0.235481099426389,0,8,1
12,0,0.2,0.5,0,0.002,2,0.1,"relu",0.2,0.1,1097.00793457031,17.226,0.877831599121659,0.621217032526556,-26.1195439380826,-12.2227060494788,0.517680435086759,-0.281483964299229,3.25585765716111,1.67494106904077,0.370761573803361,0.126974187608507,0.640441066860211,0.21274640530388,0,10,1
13,1,0.4,0,0.5,0.001,2,0.2,"relu",0.1,0.3,1258.01184082031,20.06,0.848744420815928,0.615812296169439,-29.9939137008503,-11.8681993706294,0.423304169200195,-0.217369070533598,2.3167703899983,1.42931873153862,0.284748324824863,0.102860437779998,0.580858749781942,0.186320708546806,0,8,1
14,0.6,0,1,0.25,0.001,1,0.1,"relu",0,0.1,1042.03857421875,15.207,0.838570504955301,0.589795320053257,-30.4665848429355,-11.686678167704,0.411969694481969,-0.187628699164935,2.32304622724712,1.68859822285445,0.276211221590168,0.108005217547095,0.563976294713569,0.170323532591733,0,12,1
15,0,1,0.5,0.5,0.002,2,0.1,"relu",1,0.8,1140.84936523438,18.161,0.873326677513569,0.63669889413937,-27.1630021177185,-11.9132902425271,0.497112397822757,-0.264884712456367,3.24126237569667,1.67665737218206,0.344126840806737,0.126330858444242,0.630701801652452,0.227552857130813,0,10,1
