"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","loglike_sjSDM","loss","AUC.train","AUC.test","ll.train","ll.test","nagel.train","nagel.test","plr.train","plr.test","tjur.train","tjur.test","cor.train","cor.test","auc.lt5.train","auc.lt5.test","k"
1,0,0.2,0.75,0.5,0.002,2,0.2,"relu",0.7,0.4,4126.3505859375,62.487,0.86478160063574,0.616734713232612,-21.717640218611,-9.40212166120498,0.382144730726298,-0.33388304103322,3.29219697719529,1.37596648069274,0.209812675751591,0.0454680026423633,0.507090637155083,0.145262224423234,0,49,1
2,0,0.2,0.5,1,0.002,1,0.1,"relu",0.2,0.6,3815.76635742188,57.175,0.888078331476241,0.613817517372139,-20.0835112348248,-11.0654793219598,0.444430602399463,-1.22023161690116,4.40572156317168,1.55182559425157,0.258968866793041,0.0510135149639943,0.562269849441899,0.141895833366689,0,52,1
3,1,0,0.25,0.75,0.002,2,0.2,"relu",0.1,0.1,4319.5185546875,67.545,0.844138074828971,0.647882148741392,-22.734835780292,-8.86800572956855,0.342186028218544,-0.133138426414102,2.96849731148468,1.55705402949662,0.188123796698426,0.0627756619041548,0.474012637176276,0.193031947405254,0,43,1
4,0.6,0.2,0.25,0,0.001,2,0.2,"relu",0.5,0.9,4640.46484375,68.795,0.812882769774437,0.626719477171858,-24.4320763082273,-8.68528055640297,0.275637004427378,-0.101607391886309,2.37133490166751,1.42944137803438,0.151516834854793,0.0484373522245371,0.417246869710882,0.161143324853964,0,48,1
5,0.2,0.8,0.75,0.75,0.001,2,0.1,"relu",0.8,0.4,4470.68408203125,65.12,0.825541880652276,0.604331759367824,-23.5299264052938,-9.38893437562339,0.311398028416188,-0.260418842805564,2.79058938251962,1.28283791152906,0.172917034183533,0.0341769425683591,0.44048235028836,0.108147013777972,0,51,1
6,0,0.6,0.75,0.25,0.001,2,0.1,"relu",0.6,0.9,4251.451171875,61.75,0.850611513507157,0.587390861991002,-22.3820792015879,-9.38244481377729,0.355593267572925,-0.295567412557436,3.17140235969624,1.53966761848055,0.201953947781883,0.0361165975325165,0.482888783081972,0.115772327958037,0,59,1
7,0.4,0,0,1,0.002,2,0.2,"relu",0.7,0.1,4097.748046875,62.402,0.86922770803337,0.608304149865074,-21.5671297603591,-9.90470879491166,0.394603285189875,-0.436020564297338,3.84845256919661,1.4626020453663,0.241401278310595,0.0520165967632033,0.524028782269515,0.12757038144889,0,52,1
8,0.8,0,0.75,0.5,0.001,2,0.1,"relu",0.9,0.6,4425.396484375,66.344,0.830446462302391,0.617639122302638,-23.2916046118337,-9.11790341123981,0.320694594568179,-0.241041347846693,2.93101031663237,1.53928484765693,0.176616595706457,0.046121209874384,0.454134480265695,0.141220463020124,0,50,1
9,0.8,0.8,1,0,0.001,2,0.2,"relu",0.9,0.7,4781.0849609375,70.625,0.789719922192323,0.617062447719311,-25.1638030145073,-8.62229756286113,0.24523216407194,-0.0261337114763758,2.21820077417188,1.49524401496758,0.133739302796087,0.0451783821617699,0.38403781882927,0.163067515600308,0,52,1
10,1,0.2,0.25,0.25,0.002,2,0.1,"relu",0.2,0.8,3822.11938476562,58.986,0.884810631472199,0.655087540921575,-20.1342867551688,-8.91579784696498,0.443791216256508,-0.162914211143064,4.42614968674829,1.81899388189104,0.267885832211392,0.0866288506335257,0.559222743428959,0.213639106350432,0,39,1
11,1,0.8,0.75,0.75,0.001,1,0.1,"relu",0.3,0.6,4236.005859375,60.942,0.84756494511869,0.62357207565751,-22.294727221881,-9.62267929532775,0.357667462449307,-0.323173333497537,3.26762217310863,1.61528758065802,0.213676668287513,0.064431725629688,0.476201500507838,0.165632149662783,0,49,1
12,1,0.2,0.75,0.75,0.001,2,0.1,"relu",0.2,0.5,4260.8486328125,63.716,0.852252329123822,0.63288596018568,-22.4256350158258,-9.4080391235425,0.355115121101479,-0.267561202618756,3.19626474617134,1.67155665987219,0.197207762126356,0.0518053699386406,0.483297806259302,0.165817892609257,0,43,1
13,0,0.4,0.5,0.5,0.002,1,0.1,"relu",0.7,0.7,3442.20166015625,53.74,0.910931443896772,0.62953834220816,-18.1168618559953,-10.5361701075908,0.514938777061082,-0.692582066705361,5.98692959892743,1.73990026695349,0.334723365969072,0.062659290159758,0.615944879099767,0.163033195681845,0,53,1
14,0.2,1,0.25,0.25,0.001,2,0.2,"relu",0,0.8,4079.322265625,50.069,0.77867353965335,0.597955346526075,-26.331323223776,-8.48528379248208,0.20654809151091,-0.0291063550864028,1.78244005762666,1.19540449779041,0.103146674423634,0.0305424009969277,0.359185266892899,0.109300395281629,1,56,1
