"x"
"1" "R4069.6__Insecta_Diptera_Rhagionidae_NA_NA_BOLD_ACX1094_size.14821"
"2" "R7337__Insecta_Diptera_Syrphidae_Milesia_pulchra_BOLD_AAY9056_size.62348"
"3" "R2420__Insecta_Hymenoptera_Vespidae_Dolichovespula_maculata_BOLD_AAB6388_size.239475"
"4" "R2516.69__Insecta_Diptera_Rhagionidae_Symphoromyia_NA_BOLD_ACY3832_size.556"
"5" "R3842.2__Insecta_Hymenoptera_Vespidae_Eumenes_consobrinus_BOLD_AAG9053_size.3920"
"6" "R2002.2__Arachnida_Araneae_Gnaphosidae_Orodrassus_canadensis_BOLD_ACD2419_size.31"
"7" "R4278.5__Insecta_Raphidioptera_Raphidiidae_Agulla_NA_BOLD_ACA6997_size.2491"
"8" "R5123.57__Insecta_Diptera_Rhagionidae_NA_NA_BOLD_ACU3161_size.353"
"9" "R6630.2__Insecta_Psocodea_Dasydemellidae_Teliapsocus_conterminus_BOLD_AAP4627_size.5126"
"10" "R9119__Insecta_Diptera_Muscidae_Phaonia_nigricauda_BOLD_AAP6480_size.1261"
"11" "R4091.6__Insecta_Diptera_Asilidae_Nevadasilus_NA_BOLD_AAH2298_size.3235"
"12" "R3138.89__Insecta_Diptera_Piophilidae_Mycetaulus_NA_BOLD_AAP6246_size.66"
"13" "R2775.3__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACI9191_size.2219"
"14" "R4099.21__Arachnida_Araneae_Philodromidae_Philodromus_oneida_BOLD_AAN9004_size.80"
"15" "R4943.5__Insecta_Coleoptera_Scraptiidae_Anaspis_rufa_BOLD_AAP7041_size.1929"
"16" "R4774.5__Insecta_Coleoptera_Elateridae_Hemicrepidius_NA_BOLD_ACJ3091_size.314"
"17" "R5669.21__Insecta_Hemiptera_NA_NA_NA_BOLD_AAZ3083_size.108"
"18" "R5713.14__Insecta_Diptera_Syrphidae_Parasyrphus_relictus_BOLD_AAL3233_size.1357"
"19" "R1996.72__Arachnida_Araneae_Clubionidae_Clubiona_NA_BOLD_AAB2563_size.382"
"20" "R9361.2__Insecta_Hemiptera_Miridae_NA_NA_BOLD_ACC4475_size.186"
"21" "R4490.7__Insecta_Coleoptera_Elateridae_Pseudanostirus_propolus_BOLD_ACG1380_size.65"
"22" "R4594.38__Insecta_Diptera_Piophilidae_Mycetaulus_NA_BOLD_AAP7658_size.77"
"23" "R5508.8__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_AAM6113_size.700"
"24" "R1778.25__Insecta_Coleoptera_Cerambycidae_Pidonia_scripta_BOLD_AAD6095_size.71"
"25" "R1583.112__Insecta_Diptera_Sphaeroceridae_NA_NA_BOLD_ACP8985_size.2"
"26" "R9147.3__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC6221_size.13"
"27" "R6623.2__Insecta_Neuroptera_Hemerobiidae_Hemerobius_discretus_BOLD_ABZ0149_size.2910"
"28" "R7935.15__Insecta_Hymenoptera_Formicidae_Formica_pacifica_BOLD_AAI5674_size.84"
"29" "R3062.20__Insecta_Diptera_Mycetophilidae_Cordyla_NA_BOLD_ABW9771_size.1183"
"30" "R6085.4__Insecta_Diptera_Mycetophilidae_NA_NA_BOLD_ACS9352_size.1529"
"31" "R6022.20__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACI9068_size.585"
"32" "R8520.8__Insecta_Psocodea_Lachesillidae_Lachesilla_NA_BOLD_ACB8951_size.66"
"33" "R608__Insecta_Hymenoptera_Vespidae_Dolichovespula_arenaria_BOLD_AAC0675_size.92920"
"34" "R1__Insecta_Diptera_Tabanidae_Hybomitra_rhombica_BOLD_AAG4571_size.14764"
"35" "R1631.2__Insecta_Coleoptera_Cerambycidae_Leptura_obliterata_BOLD_AAG5563_size.32225"
"36" "R1904.2__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACE8616_size.791"
"37" "R3500.3__Insecta_Hymenoptera_Apidae_Bombus_sitkensis_BOLD_ACU8557_size.1191"
"38" "R3540.4__Insecta_Lepidoptera_Geometridae_Ceratodalia_gueneata_BOLD_AAA5705_size.21947"
"39" "R1733.25__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACF5187_size.90"
"40" "R8220.14__Insecta_Diptera_Dryomyzidae_Paradryomyza_NA_BOLD_AAI6087_size.139"
"41" "R5007.18__Insecta_Diptera_Limoniidae_NA_NA_BOLD_AAV1806_size.331"
"42" "R3869.44__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ABY7035_size.576"
"43" "R4409__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACJ0826_size.2301"
"44" "R10098__Insecta_Diptera_Mycetophilidae_Mycomya_NA_BOLD_ACJ6978_size.215"
"45" "R4175.16__Insecta_Neuroptera_Hemerobiidae_Hemerobius_pacificus_BOLD_AAM7043_size.72"
