"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","loglike_sjSDM","loss","AUC.train","AUC.test","ll.train","ll.test","nagel.train","nagel.test","plr.train","plr.test","tjur.train","tjur.test","cor.train","cor.test","auc.lt5.train","auc.lt5.test","k"
1,0.8,0.2,0,0,0.001,2,0.2,"relu",1,0.4,4920.0595703125,73.217,0.838486477162769,0.650335690847071,-21.8669447355209,-8.1374015945571,0.325385944245827,-0.191323379315163,3.47026513077485,2.1371322240935,0.187175598819738,0.0799228696633797,0.456826168568424,0.197234733115881,0,39,1
2,0.2,0,1,0.75,0.002,2,0.1,"relu",0.2,0.1,4246.39453125,69.335,0.890379383561412,0.689168393722414,-18.8729504914816,-8.34886200385895,0.444118806748109,-0.361405530938445,5.15014625009402,2.57131848447605,0.268860514820283,0.120721285117875,0.555405157152007,0.242281481867489,0,33,1
3,0.6,0.6,0,0.5,0.002,2,0.2,"relu",0.1,0.7,4387.6123046875,69.574,0.876870029548449,0.665783337265749,-19.7690828997294,-8.57926314876478,0.414627569714081,-0.381673498086308,4.78933024991237,3.3222997530904,0.255083772761673,0.114452462294858,0.534196049717332,0.219627219251426,0,41,1
4,1,0.4,0,1,0.002,1,0.2,"relu",0.7,0.8,4145.744140625,69.299,0.896838526392014,0.672756151868626,-18.4256027757501,-8.9115523170372,0.465860083523604,-0.50039312625755,6.18717016271908,3.62966187937246,0.286980581045735,0.118218707318767,0.57907562861655,0.222895868011592,0,31,1
5,0.8,0.4,1,0,0.002,1,0.1,"relu",0.5,0.4,3943.2177734375,60.685,0.90768955668935,0.678661671325357,-17.5255306251111,-9.63276571571005,0.497937104202077,-0.96958405404643,7.03732558092285,7.39147613380275,0.312914385383992,0.127615218586327,0.599419592374403,0.236647964084083,0,35,1
6,1,0.8,0.25,0,0.002,2,0.2,"relu",1,0.9,4819.81689453125,74.548,0.846879914980282,0.677015596975692,-21.4217469305591,-7.94884646476023,0.340650919582333,-0.16407857572604,3.25374168336976,2.04074534396885,0.184415807968962,0.0884748539525771,0.466457591622941,0.228281781480253,0,31,1
7,0,0.2,0.5,0,0.002,2,0.1,"relu",0.2,0.1,4342.6884765625,67.664,0.883031594394411,0.671663056907293,-19.3009921534045,-8.92411976941241,0.424607387502883,-0.49805329958398,4.67615402495889,2.62646342791057,0.24015515442519,0.105562845622496,0.535955850370213,0.228036904312314,0,36,1
8,1,0.4,0,0.5,0.001,2,0.2,"relu",0.1,0.3,4792.294921875,74.283,0.852141506653552,0.641576729261477,-21.3001975075656,-8.25500810491592,0.34767093332398,-0.200580221922846,3.57510763891729,1.98918172228702,0.197223760385712,0.0777252767176192,0.481113221636586,0.187690548642452,0,47,1
9,0.6,0,1,0.25,0.001,1,0.1,"relu",0,0.1,4052.2841796875,49.925,0.846641548347758,0.659751242451509,-21.632876689605,-8.16216982786186,0.341083678029451,-0.230862806823035,3.87690178167543,1.87355588570271,0.179413723791864,0.0829298485968523,0.469748671823786,0.20809465663942,0,40,1
10,0,1,0.5,0.5,0.002,2,0.1,"relu",1,0.8,4204.9619140625,64.276,0.889973725178466,0.674726122483291,-18.6887167733463,-9.17853679100653,0.450665824198113,-0.626539207218748,5.49814339406648,2.63657153242083,0.272683869826117,0.10531963506184,0.561237189211278,0.218438194164468,0,33,1
11,0.6,0.4,0.75,0.25,0.001,2,0.2,"relu",0.2,0.7,5105.1845703125,78.633,0.824007538943783,0.657669930489913,-22.6953135527914,-7.89766747926257,0.283892525524653,-0.142930275768344,2.59458009682212,1.79641512162085,0.141862771222484,0.0726960225603284,0.420295195093847,0.213935080028198,1,38,1
12,1,0.8,0.75,0.25,0.002,1,0.1,"relu",0.5,0.3,3899.69360351562,77.376,0.908650666882879,0.684681045873035,-17.37172603661,-9.4999868185243,0.504813143302934,-0.810410205218697,8.4580836924939,3.71974518109501,0.325687545692177,0.135179580315789,0.608841561687472,0.235838076519537,0,33,1
13,0.8,1,0,0.5,0.001,2,0.1,"relu",0.7,0.7,4548.99951171875,67.47,0.87095885567582,0.663776162911546,-20.2177382824166,-8.36513797219486,0.396241145358929,-0.244884748456227,4.66316062315081,2.58911630099482,0.233175827652633,0.0893064970369908,0.527883329364273,0.201190821949771,0,35,1
14,0.4,0,1,0.5,0.002,2,0.2,"relu",0.2,0.5,4877.68408203125,77.803,0.841536415872514,0.660438657312734,-21.6788108730154,-7.9589630579314,0.329209843691514,-0.156877208317749,3.15421435253452,1.91292902303781,0.173315314738343,0.0857395928760038,0.451624829075867,0.216083775755792,0,34,1
15,0.2,0.2,0.5,0.5,0.002,1,0.2,"relu",0.6,0.6,4427.7021484375,71.446,0.880667701968112,0.680386294741157,-19.6787473696283,-8.08584796687478,0.411672637992647,-0.209861356115908,4.43442073431214,2.70714041674788,0.228670575156091,0.102992606416564,0.529568367310047,0.238546837872519,0,32,1
16,0.6,1,0.75,0,0.002,2,0.1,"relu",0.5,0.8,4506.91748046875,69.011,0.871055844387549,0.658153850616162,-20.0309631712666,-8.71626941558845,0.397134797480351,-0.404925347563948,4.28207790917644,2.57324530536656,0.226300796219087,0.0929884205793805,0.512486814705882,0.205572793779056,0,39,1
17,0,0.8,0,0.5,0.002,1,0.1,"relu",0.8,0,3568.43310546875,54.689,0.927993255455552,0.669078068202366,-15.8596960097569,-10.7237332459853,0.565316461134832,-1.70762030465106,11.2517114110099,6.0227307029823,0.378704703590573,0.121840775594055,0.665678455357618,0.208916698116478,0,35,1
18,0,1,1,0.25,0.002,1,0.2,"relu",0.1,0.5,4290.40966796875,68.237,0.889972933108613,0.6891851395066,-19.0725537162856,-8.38236280623873,0.436299291060231,-0.321372935475321,5.36404204398987,2.6841442649463,0.247350310032342,0.110095044871988,0.551973859006582,0.249092270282598,0,33,1
19,0.6,0.2,1,0.25,0.001,1,0.1,"relu",0.2,0.2,4345.9169921875,67.611,0.880951642002746,0.679511385911031,-19.3151167218848,-8.44447970643817,0.425127024202006,-0.379817019743479,5.34744465996328,2.45514704922639,0.248190004316293,0.108668195481749,0.544104031347472,0.235953915703431,0,34,1
