R1163-70_Insecta_Diptera_Simuliidae_Prosimulium_NA_BOLD_AAA1296_BLAST-EXACT-MATCH;size=37	R2769-2_Insecta_Diptera_Tabanidae_Chrysops_NA_BOLD_AAP7670_BLAST-EXACT-MATCH;size=2194	84.4
R2071-44_Insecta_Lepidoptera_Geometridae_Hydriomena_irata_BOLD_AAA2021_BLAST-EXACT-MATCH;size=574	R1547-230_Insecta_Lepidoptera_Geometridae_Sicya_macularia_BOLD_AAA5208_BLAST-EXACT-MATCH;size=46	89.4
R2071-44_Insecta_Lepidoptera_Geometridae_Hydriomena_irata_BOLD_AAA2021_BLAST-EXACT-MATCH;size=574	R5241-6_Insecta_Lepidoptera_Geometridae_Chrysolarentia_NA_BOLD_AAW0145_BLAST-CLOSE-MATCH;size=639	89.0
R2071-44_Insecta_Lepidoptera_Geometridae_Hydriomena_irata_BOLD_AAA2021_BLAST-EXACT-MATCH;size=574	R1020-102_Insecta_Lepidoptera_Geometridae_Eustroma_fasciata_BOLD_ABX6172_BLAST-EXACT-MATCH;size=167	88.7
R2071-44_Insecta_Lepidoptera_Geometridae_Hydriomena_irata_BOLD_AAA2021_BLAST-EXACT-MATCH;size=574	R6697-9_Insecta_Lepidoptera_Geometridae_Eupithecia_misturata_BOLD_ACF4074_BLAST-EXACT-MATCH;size=50	88.5
R2071-44_Insecta_Lepidoptera_Geometridae_Hydriomena_irata_BOLD_AAA2021_BLAST-EXACT-MATCH;size=574	R7494-4_Insecta_Lepidoptera_Geometridae_Enypia_venata_BOLD_AAA2071_BLAST-EXACT-MATCH;size=138	88.2
R2071-44_Insecta_Lepidoptera_Geometridae_Hydriomena_irata_BOLD_AAA2021_BLAST-EXACT-MATCH;size=574	R1210-250_Insecta_Lepidoptera_Geometridae_Eupithecia_NA_BOLD_AAA7997_BLAST-EXACT-MATCH;size=50	88.2
R2071-44_Insecta_Lepidoptera_Geometridae_Hydriomena_irata_BOLD_AAA2021_BLAST-EXACT-MATCH;size=574	R5382-17_Insecta_Lepidoptera_Geometridae_Eustroma_NA_BOLD_AAA6330_BLAST-CLOSE-MATCH;size=103	88.0
R2071-44_Insecta_Lepidoptera_Geometridae_Hydriomena_irata_BOLD_AAA2021_BLAST-EXACT-MATCH;size=574	R465-67_Insecta_Lepidoptera_Geometridae_Zenophleps_NA_BOLD_AAB2735_BLAST-EXACT-MATCH;size=135	88.0
R2071-44_Insecta_Lepidoptera_Geometridae_Hydriomena_irata_BOLD_AAA2021_BLAST-EXACT-MATCH;size=574	R6018-52_Insecta_Lepidoptera_Geometridae_Eupithecia_graefii_BOLD_AAA2448_BLAST-EXACT-MATCH;size=268	87.5
R2071-44_Insecta_Lepidoptera_Geometridae_Hydriomena_irata_BOLD_AAA2021_BLAST-EXACT-MATCH;size=574	R5123-12_Insecta_Lepidoptera_Geometridae_Xanthorhoe_macdunnoughi_BOLD_AAA4416_BLAST-EXACT-MATCH;size=409	87.5
