"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","loglike_sjSDM","loss","AUC.train","AUC.test","ll.train","ll.test","nagel.train","nagel.test","plr.train","plr.test","tjur.train","tjur.test","cor.train","cor.test","auc.lt5.train","auc.lt5.test","k"
1,0.4,0.2,0.5,0.25,0.002,1,0.1,"relu",0.1,0.1,4033.6357421875,67.164,0.888070764424656,0.666343318649159,-18.1706944877844,-7.86977441791148,0.449507275760409,-0.342991896399765,5.54565529778261,3.21695844489625,0.273337308050778,0.0834751892624593,0.558757080395856,0.207121360617665,0,44,1
2,0.6,0.6,0.5,0,0.002,2,0.2,"relu",0.2,0,4641.8984375,76.351,0.839581803714595,0.685554285607514,-20.909303239688,-7.00068192416567,0.333545145128505,-0.0409436316828932,3.3240951530827,1.89848848172494,0.18444380633701,0.0807688251749575,0.453923281617703,0.22578152169767,0,38,1
3,0.8,0.2,0.5,0,0.001,2,0.2,"relu",0.7,0.6,4966.99267578125,76.383,0.809039579896089,0.655361916646948,-22.3739491704142,-7.07061838325185,0.272361286520238,-0.0566605811900436,2.80989475166561,1.65071867557463,0.142715009687398,0.0554598803401613,0.403858983951507,0.18854073823244,2,50,1
4,0.4,0.4,0.25,0.5,0.002,2,0.2,"relu",0.6,1,4404.1669921875,72.975,0.836197931507532,0.652590131245558,-21.2008036844069,-7.20030752354018,0.324091884151571,-0.0994151071106861,3.28958693009757,1.919568407645,0.175268212510353,0.0661388784330018,0.449738232657185,0.193996252461014,0,44,1
5,0,1,0.25,0,0.001,2,0.1,"relu",0.4,0.9,4639.27001953125,72.291,0.837084556918489,0.66102092301711,-20.9517876631003,-7.43626766325035,0.333828094129221,-0.186748602850788,3.60734325150869,1.68024408965813,0.188064725702376,0.0691907915498785,0.458777281815341,0.179799854228183,0,39,1
6,0.8,0.2,0,0,0.001,2,0.2,"relu",1,0.4,4622.77587890625,72.935,0.847230238492285,0.64591044397256,-20.8232793233014,-7.51656891094883,0.341318575695232,-0.162821959517613,3.45540121890583,1.91888925438015,0.196370639622469,0.0702473966468355,0.475806936679681,0.170353051341751,0,42,1
7,0.2,0,1,0.75,0.002,2,0.1,"relu",0.2,0.1,4099.39501953125,69.018,0.889165728832533,0.676131542098813,-18.465850298112,-7.93427768347538,0.437405059716107,-0.379602595539198,4.73065354919163,2.88344829858189,0.253695784928503,0.0913521529022316,0.548922655088262,0.222267085920429,0,45,1
8,0.6,0.6,0,0.5,0.002,2,0.2,"relu",0.1,0.7,4385.1982421875,72.75,0.859970838375435,0.648170969303248,-20.0180437800759,-7.70436760264713,0.376429222013579,-0.238541591274383,4.13922475660686,2.19474107387228,0.227240048695764,0.0746141818151774,0.504057599227555,0.179623051520195,0,44,1
9,1,0.4,0,1,0.002,1,0.2,"relu",0.7,0.8,3946.619140625,65.031,0.900990693678437,0.661517702788251,-17.7776245687291,-8.0011875226148,0.467542801336566,-0.336366388754305,5.29947830529977,2.33275373202786,0.296761143784542,0.0898951060591599,0.588551873162114,0.177542242857361,0,39,1
10,0.8,0.4,1,0,0.002,1,0.1,"relu",0.5,0.4,4156.35888671875,67.722,0.883404701139183,0.663341146838498,-18.7222740717266,-7.91665706468372,0.430046496782638,-0.338012988606018,4.8780158171547,1.96903033510286,0.256298942780117,0.0825724354127238,0.544508923975373,0.19438410137796,0,45,1
