"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","loglike_sjSDM","loss","AUC.train","AUC.test","ll.train","ll.test","nagel.train","nagel.test","plr.train","plr.test","tjur.train","tjur.test","cor.train","cor.test","auc.lt5.train","auc.lt5.test","k"
1,0.8,0.2,0.5,0,0.001,1,0.2,"relu",0.2,0.8,4424.4521484375,71.112,0.815867150958595,0.64364041940965,-21.8527550728956,-7.04087739384443,0.273178255715649,-0.133805480066571,2.6424471032241,1.90376359071519,0.123533170321722,0.0619509021407093,0.41126539723249,0.192152362652549,1,46,1
2,0,1,0.25,0,0.003,1,0.1,"relu",0.5,0.9,3516.87890625,57.336,0.91333003135069,0.674352036852037,-16.8335192401891,-7.96981535914882,0.500524705240783,-0.520452621570992,7.26186649113297,3.46907658859812,0.2791359225864,0.0915525940584627,0.621109730056755,0.228879387983842,0,34,1
3,0.2,0,1,0.75,0.001,2,0.1,"relu",0.2,0,4206.3603515625,66.199,0.844963971776962,0.676871589948513,-20.7081245746422,-6.88262937089033,0.329626753700146,-0.14594665423756,3.4445180382096,2.40329617843858,0.15772969117727,0.0791368299986019,0.459523547725523,0.220352227957274,0,34,1
4,0.6,0.6,0,0.5,0.002,1,0.2,"relu",0.2,0.4,3813.0546875,65.392,0.89336475944342,0.656384932731087,-18.4141201833513,-7.74187843404824,0.432041859168636,-0.422055388797662,5.04852640857109,2.66418101216133,0.230157572624515,0.0849932545239856,0.564530949426679,0.188569892140607,0,42,1
5,0.8,0,0.75,0.25,0.003,2,0.3,"relu",0,0.3,4254.716796875,59.637,0.793705543913586,0.652620584543661,-23.1162574838505,-6.61932194806088,0.217251404199765,-0.0183789675702424,1.95580809013034,1.59306935971956,0.104677596351152,0.0606989309239087,0.361857364030524,0.197302957805067,1,42,1
6,0.4,0.8,0.75,0.25,0.003,2,0.3,"relu",0,0.1,4329.71142578125,59.1,0.792045916250167,0.645222242145319,-23.4911144536545,-6.57890134138523,0.204365054157704,0.0121207165235548,1.92141871640397,1.52013945732686,0.101780959904531,0.0590069697114955,0.361709874178693,0.18967193110152,1,46,1
7,1,0.4,0,1,0.003,2,0.1,"relu",0.9,0.6,3527.56103515625,60.201,0.914152361598251,0.65968845968846,-17.0204575853169,-8.366779901545,0.493614445441684,-0.770041329855948,7.16640580717645,3.37657179353398,0.271371190733077,0.09636599959454,0.619968417390856,0.205917345394082,0,39,1
8,0.8,0.4,1,0,0.002,1,0.1,"relu",0.2,0.3,3658.32397460938,61.598,0.900707301200272,0.668638178061255,-17.6971903923677,-8.03838670918144,0.463664638944575,-0.62066826353685,6.23749303591997,4.00064045056586,0.251717624967451,0.0899967046972757,0.579302174824665,0.219910717371192,0,39,1
9,0,0.2,0.5,0,0.001,2,0.1,"relu",0.7,0.9,4237.2763671875,68.692,0.841630542659885,0.66991140625756,-20.9514059720234,-6.80166852886498,0.320086401434119,-0.0705843899692051,3.35476029730855,2.1587031031281,0.145970843798721,0.0684335512907793,0.45936927112348,0.230305017720755,0,37,1
10,1,0.6,0.25,0.5,0.001,2,0.2,"relu",0.9,0.4,4466.98193359375,72.697,0.816399980643813,0.684346159538467,-21.9988581325782,-6.57327321264372,0.263941647386206,-0.0107386010404406,2.59410712071564,2.04249624146661,0.119654886887656,0.0661897820256438,0.407208652566791,0.239412420939806,0,33,1
11,0.4,0.4,0,0.75,0.001,1,0.3,"relu",0.9,0.1,4252.17626953125,70.895,0.842862262765553,0.654613755190678,-20.9067962922913,-7.17442674506686,0.320185154552007,-0.166793276235599,3.35494723224132,2.15839684239326,0.151634623380749,0.0674992245351618,0.466843896850365,0.201444264245704,1,44,1
12,0.6,0.4,0.75,0.25,0.001,1,0.2,"relu",0.5,0,4278.0966796875,69.797,0.838113485640706,0.64698193900117,-21.1901350009524,-7.07563940658116,0.310538752209426,-0.164930405541846,3.14871990604934,2.17729857053379,0.136559403058482,0.061043588667624,0.450715390448969,0.201175088837429,0,50,1
13,0.2,0.4,0.25,0.5,0.002,2,0.2,"relu",0.5,0.8,4162.69873046875,67.619,0.855242796052371,0.668709168324553,-20.4514776975253,-6.99553363809238,0.341987501453018,-0.18142837153143,3.45671052758307,2.0392350624628,0.158201237254227,0.0738979041799102,0.480058947389854,0.224911716678545,0,38,1
14,0.4,0,0.75,1,0.003,1,0.2,"relu",0.4,0.1,3842.53173828125,66.808,0.892447924271994,0.671360729726114,-18.7968280521312,-7.50059558443951,0.418076672210985,-0.42357379681721,4.89728538664182,3.97686679152996,0.203167433141324,0.0784666265790395,0.55777240236486,0.233265894579612,0,40,1
15,0.8,0.6,0.25,0.75,0.002,2,0.3,"relu",0.8,0.1,4456.27978515625,74.274,0.823639663900056,0.663751625867011,-22.1050274041513,-6.58190140216895,0.267523455228068,-0.021653484750118,2.61967483464349,1.90661660878175,0.11472489579813,0.061844560768538,0.418528543671651,0.215070836825112,0,45,1
16,0.6,1,0.75,0,0.001,2,0.1,"relu",0.7,1,4099.666015625,66.059,0.838886619979239,0.672528589643974,-21.0033777116724,-6.77030053072502,0.31718655867322,-0.0666693278110427,3.34036166213648,2.11131870110334,0.151516318576634,0.0786626097354931,0.455279931027066,0.23120682879438,1,39,1
17,0,0.8,0,0.5,0.002,1,0.1,"relu",0.6,0.4,3354.47973632812,53.393,0.927555030211158,0.66096814510276,-16.0050112338746,-8.68581666496587,0.534534712617884,-0.891343210084816,8.76256910770173,2.91073885824474,0.302761014528301,0.0878718184044728,0.658594489309434,0.196608402251179,0,43,1
18,0.4,0.4,0.5,0.5,0.003,1,0.3,"relu",0.9,0.9,4240.1962890625,83.515,0.846417592225459,0.681668957822804,-20.9247821377167,-6.91347129286503,0.322157902801617,-0.120160953881226,3.49630830420575,2.2537065888613,0.141719780583916,0.0696884707592628,0.465556511188613,0.233212611504283,0,38,1
