"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","loglike_sjSDM","loss","AUC.train","AUC.test","ll.train","ll.test","nagel.train","nagel.test","plr.train","plr.test","tjur.train","tjur.test","cor.train","cor.test","auc.lt5.train","auc.lt5.test","k"
1,0,0.2,0.75,0.5,0.002,2,0.2,"relu",0.7,0.4,1377.32250976562,21.379,0.85697236302602,0.52771995437703,-29.9419674516943,-13.48029569877,0.438442130760336,-0.447337192190206,2.50002565050011,1.16368692597933,0.285796143025721,0.0217696746214989,0.587782252823678,0.0414219351308933,0,18,1
2,0,0.2,0.5,1,0.002,1,0.1,"relu",0.2,0.6,1127.09765625,18.437,0.908126811767291,0.573899990457429,-24.5041242251152,-14.9333831232827,0.577164654256703,-0.847253089289143,3.70946508500614,1.52523895021462,0.411055886195883,0.0616747411766777,0.691040588407232,0.100725589084997,0,16,1
3,1,0,0.25,0.75,0.002,2,0.2,"relu",0.1,0.1,1413.12878417969,22.11,0.845651967394124,0.550524882233109,-30.7197951008754,-12.715177462793,0.416681816253851,-0.272501853069199,2.38068471384191,1.12510151164739,0.270672818056003,0.019823175209444,0.564735580523579,0.0559001674669553,0,18,1
4,0.6,0.2,0.25,0,0.001,2,0.2,"relu",0.5,0.9,1456.45483398438,22.438,0.834801000349115,0.531058994701898,-31.6756654396732,-13.257526051521,0.388265359980841,-0.343859470210309,2.22932735018636,1.1565089938347,0.250834517383687,0.0191186403186153,0.547372956013152,0.0347780417705401,0,17,1
5,0.2,0.8,0.75,0.75,0.001,2,0.1,"relu",0.8,0.4,1299.169921875,19.965,0.870994461774332,0.577401736808706,-28.2426905308466,-13.5964678913561,0.481455083880318,-0.550365631607666,2.79186212738268,1.32145010401013,0.332151874106735,0.0520958371226677,0.617109627370384,0.106697568821011,0,12,1
6,0,0.6,0.75,0.25,0.001,2,0.1,"relu",0.6,0.9,1358.30541992188,20.143,0.85681438054728,0.572969978519318,-29.5353753339848,-12.7233751739437,0.447644061243088,-0.309853860501442,2.70900250024406,1.2581020892172,0.304421930200279,0.0476236713149641,0.593353295970096,0.112403773030128,0,15,1
7,0.4,0,0,1,0.002,2,0.2,"relu",0.7,0.1,1307.30859375,20.267,0.872357546209002,0.571727655356705,-28.4197172018518,-14.4831129556,0.480170516976808,-0.709770635767383,2.77130172581138,1.25816880197178,0.330853423925413,0.0530908925772183,0.620040492581289,0.0948051294303506,0,15,1
8,0.8,0,0.75,0.5,0.001,2,0.1,"relu",0.9,0.6,1396.02270507812,21.358,0.843525617800236,0.575303329035746,-30.34845902934,-13.3791571366025,0.423414271781259,-0.432187571709577,2.6158324797964,1.35205233881046,0.292271679067427,0.0509532003196401,0.567143108441798,0.106761317810068,0,14,1
9,0.8,0.8,1,0,0.001,2,0.2,"relu",0.9,0.7,1496.083984375,22.39,0.823997754198177,0.55499478557343,-32.5237641364818,-12.7582242230472,0.366799952728548,-0.237108388545306,2.11765924728041,1.17861545949174,0.23509652400944,0.0297676290225654,0.53099684457344,0.0600136098219229,0,18,1
10,1,0.2,0.25,0.25,0.002,2,0.1,"relu",0.2,0.8,1306.00891113281,20.185,0.86713718809592,0.577070430142148,-28.3971924066741,-13.8773140564416,0.476793640742383,-0.604512553495866,2.79443051788975,1.22502231457953,0.331890241234289,0.0407460959149109,0.612056878470037,0.0911521640099814,0,18,1
